id,date,region,channel,product_category,customer_segment,ad_spend,price,discount_rate,market_reach,impressions,click_through_rate,competition_index,seasonality_index,campaign_duration_days,customer_lifetime_value,sales_revenue
1,05-12-2011 11.31,Nort,Search,General,Standard,9,0.75,0.2782,32,817,0.001,3.34,1,30,816.49,119.7678115
2,27-04-2011 14.01,North,Social Media,General,Premium,3.35,3.35,0.0912,61,2289,0.064,4.44,0.366025404,90,1723.16,119.4046614
3,09-11-2010 15.20,North,Affiliate,General,Budget,2.55,2.55,0.1997,461,14697,0.1508,3.31,0.366025404,21,1151.74,132.0097468
4,03-10-2010 15.24,North,Affiliate,Storage,Premium,2.95,2.95,0.4767,744,17578,0.1965,2.87,-0.366025404,90,3585.85,154.5117559
5,14-10-2011 9.28,North,Search,Lighting,Premium,15,1.25,0.3536,226,6280,0.02,7.4,-0.366025404,90,502.28,128.0599241
6,28-10-2011 7.39,North,Email,General,Premium,79.2,1.65,0.0442,521,11484,0.021,3.83,-0.366025404,30,32267.58,160.216472
7,28-06-2011 15.44,North,Affiliate,Stationery,Premium,10.08,0.42,0.0627,125,4495,0.1554,3.3,-1,30,20.16,181.4641371
8,06-11-2011 12.23,North,Social Media,Storage,Premium,11.25,3.75,0.2257,217,3438,0.1389,7,0.366025404,60,987.36,144.6521075
9,28-04-2010 10.02,North,Search,Storage,Premium,17,8.5,,168,3767,0.0316,2.92,0.366025404,7,1517.25,93.5809326
10,20-12-2009 15.38,North,Affiliate,Kitchen,Premium,,0.85,0.1296,266,8803,0.0701,0.97,1,21,319.26,204.2856707
11,20-04-2010 17.25,North,Social Media,General,Premium,6.5,0.65,0.0796,,3461,0.0475,2.42,0.366025404,28,,240.7854474
12,20-11-2011 15.00,North,Social Media,General,Premium,0.85,0.85,0.1494,243,5279,0.0573,2.79,0.366025404,7,65709.14,189.7308652
13,03-03-2011 14.05,North,Email,Storage,Premium,16.5,1.65,0.1641,845,10960,0.0353,6.13,1,14,48.95,140.9454149
14,04-05-2011 11.32,North,Search,Storage,Premium,0.85,0.85,0.1861,356,6950,0.2142,3.92,-0.366025404,30,6987.43,243.7952188
15,10-12-2010 11.19,North,Affiliate,General,Premium,20.16,0.42,0.2243,136,2756,0.1218,5.79,1,60,13951.97,230.5856601
16,05-07-2010 12.49,North,Email,Stationery,Standard,39,1.95,0.3123,658,11825,0.0145,2.89,-1.366025404,,97.4,87.71149253
17,07-01-2011 10.47,North,Social Media,General,Premium,11.25,3.75,0.3241,289,6374,0.0449,5.21,1.366025404,30,1387.83,114.0232866
18,01-07-2011 12.58,North,Email,General,Premium,0.78,0.39,0.3485,89,3123,0.051,3.45,-1.366025404,14,34671.78,159.9407793
19,07-06-2010 13.03,North,Search,Storage,Premium,16.5,1.65,0.3056,845,13993,0.1262,3.41,-1,28,1603.37,157.0267964
20,31-07-2011 12.52,North,Search,Seasonal,Standard,13.5,6.75,0.5874,227,8793,0.0605,6.01,-1.366025404,90,838.8,40.58413724
21,17-04-2011 10.27,north,TV,Stationery,Premium,5.04,0.42,0.0396,148,3832,0.0262,2,0.366025404,14,21407.11,190.5987247
22,18-11-2010 14.52,North,Affiliate,General,Premium,1.65,1.65,0.3856,200,1940,0.0362,4.56,0.366025404,90,26272.27,123.6361751
23,03-10-2011 11.34,North,Search,General,Premium,1.05,0.21,0.1741,209,6704,0.0432,4.16,-0.366025404,28,1247.47,330.9259248
24,19-04-2011 10.48,North,Email,General,Premium,17.4,1.45,0.2539,225,3475,0.0335,1.29,0.366025404,30,9159.85,160.9996299
25,15-11-2010 12.19,North,Search,Stationery,Premium,19.5,1.95,0.1783,658,20771,0.0443,4.53,0.366025404,90,8065.04,175.2754983
26,15-11-2010 13.39,North,Search,Storage,Premium,0.55,0.55,0.3233,614,18253,0.0803,6,0.366025404,14,2361.95,235.7975303
27,07-11-2011 8.34,NORTH,Email,Seasonal,Standard,15,1.25,0.1452,158,6755,0.1115,4.81,0.366025404,21,513.331,145.325518
28,08-06-2010 13.37,north,Search,General,Premium,79.2,1.65,0.2955,35,454,0.0569,4.53,-1,60,36223.41,82.88777107
29,09-12-2010 13.03,North,Affiliate,Storage,Premium,1.95,1.95,0.1311,450,12383,,5.49,1,14,1899.54,117.0977006
30,30-10-2011 16.15,North,Influencer,General,Premium,3.3,1.65,0.0985,405,19542,0.1563,4.22,-0.366025404,14,334.39,174.1507484
31,13-07-2010 14.10,North,Email,General,Premium,17,4.25,0.6,335,8065,0.1117,1.25,-1.366025404,,7998.73,90.86732876
32,30-07-2010 12.42,North,Affiliate,General,Premium,11.9,5.95,0.5303,66,1107,0.1014,5.34,-1.366025404,7,127.35,16.88263806
